year,ridership
1995,80130400
1996,78559100
1997,80443100
1998,79721900
1999,82091500
2000,83969900
2001,83696900
2002,82527300
2003,86344300
2004,102583200
2005,103911500
2006,108858100
2007,110729100
2008,114208800
2009,98883100
2010,96501400
2011,104373300
