objectID,name,address,lat,lon,loop
16,RIVERWALK,88 SE 4TH ST,25.77105,-80.19256,Brickell
17,FIFTH STREET,35 SE 5TH ST,25.76917,-80.19225,Brickell
18,EIGHTH STREET,59 SE 8TH ST,25.76689,-80.19212,Brickell
19,TENTH STREET/PROMENADE,1011 SE 1ST AVE,25.76402,-80.19256,Brickell
20,BRICKELL,1200 SW 1ST AVE,25.76266,-80.19526,Brickell
21,FINANCIAL DISTRICT,50 SE 14TH ST,25.76038,-80.19288,Brickell
