town,lat,lon
Miami,25.76168,-80.19179
Coral Gables,25.72149,-80.268384
Brickell,25.760179,-80.195875
Miami International Airport,25.795865,-80.287046
Doral,25.819542,-80.35533
Jackson Hospital,25.787097,-80.204244
