town,lat ,lon
Florida City,25.44789,-80.479224
Kendall West,25.708951,-80.438072
The Hammocks,25.669767,-80.449307
The Crossings,25.663055,-80.407339
Country Walk,25.633994,-80.432277
Three Lakes,25.642049,-80.398388
Goulds,25.562607,-80.382276
Leisure City,25.495388,-80.429222
