objectID,name,address,lat,lon,loop
10,SCHOOL BOARD,50 NE 15TH ST,25.78938,-80.19315,Omni
11,ADRIENNE ARSHT CENTER,1455 BISCAYNE BLVD,25.78946,-80.188,Omni
12,MUSEUM PARK,1191 BISCAYNE BLVD,25.78592,-80.18793,Omni
13,ELEVENTH STREET,1098 NE 2ND AVE,25.78487,-80.19079,Omni
14,PARK WEST,800 NE 2ND AVE,25.78248,-80.19064,Omni
15,FREEDOM TOWER,600 NE 2ND AVE,25.78054,-80.19057,Omni
